31700000 Hervé
402000 Murray Gold
402000 Joaquín Rodrigo
402000 Fernando Sor
402000 Esa-Pekka Salonen
401000 Carl Philipp Emanuel Bach
400000 Leroy Anderson
400000 David Lang
400000 Carl Davis
399000 Bruno Walter
399000 Arcangelo Corelli
398000 Thomas Tallis
398000 Philip James
398000 Alessandro Scarlatti
397000 Goran Bregović
397000 Francisco Guerrero
396000 Zeca Afonso
396000 Tony Banks
396000 Robert Stolz
396000 Johnny Clegg
396000 Francisco de la Torre
396000 Francisco Núñez
395000 Isaac Albéniz
395000 Fritz Kreisler
394000 Krzysztof Penderecki
394000 Jean-Baptiste Lully
393000 Koji Kondo
393000 Julia Smith
393000 Arrigo Boito
392000 Iannis Xenakis
392000 György Ligeti
392000 Fletcher Henderson
392000 Big Bill Broonzy
391000 Michel Camilo
391000 Harry Warren
391000 Antonio Salieri
391000 Andrew Lewis
388000 Zbigniew Preisner
388000 Ron Jones
388000 Robert Simpson
388000 Hugo Wolf
388000 Francisco Alonso
388000 Christoph Willibald Gluck
387000 Robert Ballard
387000 Niccolò Paganini
387000 Morton Feldman
387000 John Sheppard
386000 Luigi Boccherini
385000 William Walton
385000 Thomas Adams
384000 Rachel Portman
384000 Domenico Cimarosa
383000 Peter Abelard
383000 Leo Brouwer
383000 Carla Bley
382000 Peter Cornelius
382000 Modest Mussorgsky
382000 Max Bruch
382000 Leopold Mozart
382000 Bedřich Smetana
381000 Ottorino Respighi
381000 Martín Codax
380000 Solage
380000 John Field
380000 Frank Loesser
379000 Robert Ward
379000 Francisco Canaro
379000 Anton Webern
379000 André Previn
378000 Victoria Wood
378000 Jean Gilles
377000 Noël Coward
377000 Leoš Janáček
377000 Bix Beiderbecke
376000 Umberto Giordano
376000 Tyagaraja
375000 Giovanni Battista Pergolesi
375000 Carlos Sandoval
375000 Arthur Honegger
375000 Aram Khachaturian
374000 William Mason
374000 Tan Dun
374000 Michael Tilson Thomas
374000 Francesco Cilea
373000 Walther von der Vogelweide
372000 Richard Harvey
371000 José Barros
371000 Giovanni Pierluigi da Palestrina
371000 Alfred Newman
370000 John Browne
370000 Anna Amalia
369000 Tomaso Albinoni
369000 Thomas Ford
369000 Ole Bull
369000 Adolphe Adam
368000 Richard Barrett
368000 Alexander Campbell
368000 Alan John
367000 Cornelius Gurlitt
366000 William Hayes
366000 Richard Mills
366000 Christian Petzold
366000 Anton Rubinstein
365000 Claude Bolling
364000 Hildegard of Bingen
364000 François Couperin
364000 Ernesto Lecuona
363000 Wim Mertens
363000 Harold Budd
363000 Arthur Sullivan
363000 Alfred Schnittke
362000 Wojciech Kilar
362000 Andrew Carter
362000 Amilcare Ponchielli
362000 Alexander Scriabin
362000 Alexander Mackenzie
361000 Ernesto Nazareth
360000 Noël Lee
360000 John Marsh
360000 Edgar Meyer
359000 Peter Philips
359000 Mel Tormé
358000 John Hartford
358000 Grace Williams
357000 Lasse Åberg
356000 Samuel Jones
356000 Meredith Monk
356000 Martin O'Donnell
355000 Thomas Albert
355000 Manuel Correia
354000 Marin Marais
354000 Kenny Clarke
354000 John Tavener
353000 Nikolai Rimsky-Korsakov
353000 Maria Bach
353000 Amaradeva
352000 Victor Herbert
352000 Alexander Borodin
351000 Luigi Cherubini
350000 Robert W. Smith
349000 Paul Dukas
349000 Malcolm Arnold
349000 Léo Delibes
347000 Scott Bradley
346000 Silvestre Revueltas
346000 Pino Donaggio
345000 Vincent d'Indy
344000 Ruth Anderson
342000 Rod McKuen
342000 Pierre de La Rue
342000 Marc-Antoine Charpentier
342000 James Rolfe
340000 Giuseppe Tartini
339000 Manuel Cardoso
336000 Julián Carrillo
335000 Ambroise Thomas
334000 Stéphane Grappelli
334000 Paul Lincke
333000 Riz Ortolani
332000 Tony Jackson
332000 Mauro Giuliani
332000 João IV
331000 Phil Coulter
331000 Leonardo Leo
331000 Jerry Leiber
329000 John McGuire
328000 Franz Lehár
328000 Don Ellis
328000 Antônio Carlos Gomes
327000 Pablo de Sarasate
327000 Julia Ward Howe
326000 Laurindo Almeida
326000 Friedrich Gulda
326000 Cemal Reşit Rey
326000 Camargo Guarnieri
325000 Spencer Williams
325000 Josef Suk
325000 Ferruccio Busoni
324000 Stephen Adams
324000 Chris Newman
322000 Luigi Nono
322000 George M. Cohan
322000 Francesco Cavalli
321000 Giovanni Paisiello
320000 Santiago de Murcia
320000 Karol Szymanowski
319000 Mike Harding
318000 José de Torres
318000 Antonio Soler
316000 Wilhelm Furtwängler
316000 Luigi Rossi
315000 Léonin
314000 William O. Smith
313000 Laurie Johnson
313000 John Farmer
312000 Percy Grainger
311000 Guillaume de Machaut
311000 George Fenton
311000 Elliott Carter
310000 David Briggs
309000 Slavko Avsenik
309000 Hans Werner Henze
308000 Pedro de Escobar
308000 Michael Praetorius
308000 Luis de Pablo
305000 Jean Becker
304000 Michael Haydn
303000 Henry Cowell
302000 Tomás Luis de Victoria
302000 Pierre Fontaine
302000 Girolamo Frescobaldi
302000 Doc Severinsen
302000 Dimitri Tiomkin
301000 Carlo Gesualdo
300000 Robert Carl
300000 Nico Muhly
300000 Francisco Tárrega
299000 David Petersen
298000 Muzio Clementi
297000 Manuel Mendes
297000 Juan Carlos Paz
297000 George Benjamin
295000 Alberto Ginastera
290000 Manuel Ponce
289000 Stephen Hough
288000 Roy Harris
288000 John McCabe
287000 Johann Christian Bach
284000 Joseph Joachim
284000 Christian Marclay
284000 Arthur Benjamin
283000 Ildebrando Pizzetti
283000 Christopher Tin
281000 Giuseppe Sinopoli
280000 Giulio Caccini
279000 Jim Steinman
279000 Emmanuel Chabrier
278000 Jonathan Harvey
278000 Beth Anderson
277000 Leonardo Vinci
276000 Heinz Holliger
273000 Émile Waldteufel
273000 Carl Czerny
271000 Jacques Aubert
271000 Eugen d'Albert
269000 Param Vir
268000 Ernest Bloch
264000 Jacques Ibert
264000 Cy Coleman
262000 John Eaton
260000 Thomas Simpson
260000 Nadia Boulanger
260000 Magnus Lindberg
260000 Giacomo Meyerbeer
258000 Oscar Levant
258000 Justin Morgan
256000 Maurice Greene
256000 Erich Wolfgang Korngold
254000 Arnold Bax
253000 Nikolai Medtner
253000 Howard Goodall
249000 Michel Lambert
248000 James Hewitt
247000 Gavin Bryars
247000 Franz Schmidt
246000 Calixa Lavallée
245000 Georg Forster
243000 Vittorio Monti
243000 Josquin des Prez
243000 Jerry Ross
242000 José Ángel Lamas
242000 Francesco Durante
240000 Johann Nepomuk Hummel
240000 Giovanni Gabrieli
240000 Eubie Blake
239000 Jonathan Powell
238000 Franz Waxman
235000 Hank Ballard
234000 Gian Carlo Menotti
233000 Seedo
233000 Joaquín Turina
232000 Ron Goodwin
232000 Robert Ashley
232000 Lorenzo Perosi
231000 La Monte Young
231000 Guillaume Dufay
230000 Reynaldo Hahn
229000 Michael Parsons
229000 Louis Spohr
227000 Juan José Castro
227000 Cristina Braga
227000 Alfredo Catalani
226000 Vatroslav Lisinski
226000 Morten Lauridsen
226000 Gunther Schuller
226000 George Crumb
225000 Kaija Saariaho
225000 James Dillon
225000 Claude-Michel Schönberg
223000 Zoltán Kodály
223000 James MacMillan
223000 Albert Roussel
222000 Ariel Ramírez
220000 Bradley Joseph
219000 Henryk Wieniawski
219000 Charles Lucas
218000 Zequinha de Abreu
218000 John Corigliano
218000 Henri Dutilleux
217000 Robert Morton
216000 Pierre Schaeffer
216000 Paul Dessau
216000 Louis Vierne
215000 Sergio Machado
213000 Juan Hidalgo
213000 Ernest Chausson
212000 Robert Moran
212000 Luiz Bonfá
211000 David Bedford
211000 Charles-Marie Widor
210000 Constantijn Huygens
210000 Albert Lortzing
209000 John Weldon
209000 James Oswald
208000 Peter Maxwell Davies
208000 Mark Carlson
208000 John Addison
207000 Miklós Rózsa
207000 Michael Salvatori
206000 George Lloyd
206000 Frederick Delius
205000 Wolfgang Rihm
205000 Frank Bridge
205000 Alessandro Marcello
204000 Sohail Sen
204000 Arturo Márquez
204000 Adolph Green
203000 Thomas Morley
203000 Scott Wheeler
203000 Ilayaraaja
203000 Agustín Barrios
201000 William Boyce
201000 Miina Härma
200000 Holger Czukay
200000 Ben Johnston
200000 Alessandro Striggio
198000 Georges Auric
198000 Bernhard Lang
197000 Bob Chilcott
